term	document frequence
Tame	248000000
outbreak	496000000
concerts	514000000
beach	5850000000
situation	"2,230,000,000"
Star	10700000000
cat	4300000000
coronavirus	5250000000
games	9170000000
in	25270000000
Lego	944000000
Set	14060000000
difference	"3,370,000,000"
between	9080000000
France	8470000000
world	"17,170,000,000"
asthma	"106,000,000"
behavior	843000000
Greece	984000000
islands	1130000000
the	25270000000
Mulan	"61,000,000"
heat	1960000000
best	23670000000
summer	7470000000
Newest	"1,850,000,000"
paris	"4,680,000,000"
restaurant	"8,130,000,000"
change	10400000000
and	25270000000
season	"5,200,000,000"
olympic	513000000
university	"8,280,000,000"
vacation	"2,170,000,000"
wuhan	"246,000,000"
trial	"2,090,000,000"
Coronavirus	"5,130,000,000"
tokyo	5050000000
Impala	"95,700,000"
remdesivir	"1,620,000"
korea	2140000000
actors	"555,000,000"
nCovs	6330
china	7000000000
disease	"1,780,000,000"
Wars	1340000000
SARS	169000000